especie,Date,apertura,maximo,minimo,Close,volumen,timestamp
GGAL,2020-04-24,69.25,69.95,65.75,68.3,2906601,1587697200
GGAL,2020-04-27,66.8,70.45,65.3,69.75,3108008,1587956400
GGAL,2020-04-28,73.15,82.1,73.15,81.5,4591591,1588042800
GGAL,2020-04-29,85,87,81,82.55,2517230,1588129200
GGAL,2020-04-30,83,86,79.15,80.65,1662419,1588215600
GGAL,2020-05-04,80,82,76.05,81.45,2326743,1588561200
GGAL,2020-05-05,83.05,84.5,79.2,83.55,2723619,1588647600
GGAL,2020-05-06,82,88.5,80.1,86.55,3506281,1588734000
GGAL,2020-05-07,87.8,97.3,84.9,94,5895211,1588820400
GGAL,2020-05-08,97.05,98.95,93.55,94.35,3858897,1588906800
GGAL,2020-05-11,94,105.1,90.05,104.8,3831516,1589166000
GGAL,2020-05-12,105,111.55,105,105.9,5391902,1589252400
GGAL,2020-05-13,100.95,102.4,98.2,99.75,5057096,1589338800
GGAL,2020-05-14,98,106.8,98,104.5,2967787,1589425200
GGAL,2020-05-15,107,107.1,102.1,102.85,4360027,1589511600
GGAL,2020-05-18,105.9,109.5,102.5,106.65,3621295,1589770800
GGAL,2020-05-19,103.4,105.65,101.05,101.95,2702358,1589857200
GGAL,2020-05-20,103.5,105.65,101.3,104.8,2369232,1589943600
GGAL,2020-05-21,105,113.3,102.55,111,4692938,1590030000
GGAL,2020-05-22,108.9,114.8,106.9,109.35,4255787,1590116400
GGAL,2020-05-26,111.6,113.4,108,108.7,3290846,1590462000
GGAL,2020-05-27,108,109.7,100,107.65,3229588,1590548400
GGAL,2020-05-28,106,106,98,100.3,4578639,1590634800
GGAL,2020-05-29,99.9,102.45,91.3,93.15,7084466,1590721200
GGAL,2020-06-01,97.2,100,96,99.55,4141200,1590980400
GGAL,2020-06-02,103,108.1,103,107.95,4905617,1591066800
GGAL,2020-06-03,109,118,108,117.35,6814613,1591153200
GGAL,2020-06-04,117,119.2,114.5,117.45,4831553,1591239600
GGAL,2020-06-05,120.1,123.45,119.6,121.25,3985123,1591326000
GGAL,2020-06-08,126.6,134.5,124.05,133.5,5779594,1591585200
GGAL,2020-06-09,127,130,123.1,126.1,3989120,1591671600
GGAL,2020-06-10,125,130,119,127.8,4392489,1591758000
GGAL,2020-06-11,125.75,125.95,116,116.6,4488986,1591844400
GGAL,2020-06-12,122,122.95,115.05,119.6,3389731,1591930800
GGAL,2020-06-16,120.1,123.6,116.3,116.85,2380008,1592276400
GGAL,2020-06-17,116.5,116.75,109.05,109.95,3369263,1592362800
GGAL,2020-06-18,107,107.25,102,102.6,5032815,1592449200
GGAL,2020-06-19,107,114.7,106.5,113.95,6015175,1592535600
GGAL,2020-06-22,115.5,116.1,106.7,110.15,3832900,1592794800
GGAL,2020-06-23,111.95,115.6,111,111.85,2710304,1592881200
GGAL,2020-06-24,110.5,114.95,109.6,110.5,2564918,1592967600
GGAL,2020-06-25,114.2,116.75,113.3,116.25,3385201,1593054000
GGAL,2020-06-26,114.5,114.5,110.1,110.4,2685668,1593140400
GGAL,2020-06-29,111,113.95,107.65,109.8,1620295,1593399600
GGAL,2020-06-30,108,109,102.55,103.2,3759125,1593486000
GGAL,2020-07-01,103.95,106.3,103,105.95,1094672,1593572400
GGAL,2020-07-02,107.95,107.95,102,102.45,2467742,1593658800
GGAL,2020-07-03,102.45,104.8,102,104,1070649,1593745200
GGAL,2020-07-06,114.15,124,114.15,122.45,6787048,1594004400
GGAL,2020-07-07,117,121,116.5,119.9,3370413,1594090800
GGAL,2020-07-08,122,122.2,119.05,120.95,2380118,1594177200
GGAL,2020-07-13,125.8,131.75,124.5,126.15,4585283,1594609200
GGAL,2020-07-14,124.4,127,123,127.7,2777694,1594695600
GGAL,2020-07-15,130,132.25,128.6,131.89999,2490550,1594782000
GGAL,2020-07-16,128.89999,133.1,128,132.05,1843622,1594868400
GGAL,2020-07-17,132.5,133.6,128.6,131.60001,2471406,1594954800
GGAL,2020-07-20,130.8,132.7,129,129.5,2021585,1595214000
