especie,Date,apertura,maximo,minimo,Close,volumen,timestamp
CEDEARKO,2020-04-24,1017,1020.5,973,1009.5,9560,1587697200
CEDEARKO,2020-04-27,1012,1090,1012,1086,24015,1587956400
CEDEARKO,2020-04-28,1100,1130,1082,1111.5,16065,1588042800
CEDEARKO,2020-04-29,1100,1100,1020,1047.5,22830,1588129200
CEDEARKO,2020-04-30,1048,1061,1020,1048.5,12360,1588215600
CEDEARKO,2020-05-04,1050,1051,1015,1031,13445,1588561200
CEDEARKO,2020-05-05,1039,1098,1037,1087.5,18315,1588647600
CEDEARKO,2020-05-06,1097.5,1100,1062,1067,15630,1588734000
CEDEARKO,2020-05-07,1072,1080,1057.5,1063,13335,1588820400
CEDEARKO,2020-05-08,1072.5,1095,1072.5,1077,34625,1588906800
CEDEARKO,2020-05-11,1080,1088,1060,1071,13825,1589166000
CEDEARKO,2020-05-12,1080,1095,1075,1090,12380,1589252400
CEDEARKO,2020-05-13,1090,1102,1059.5,1096,41945,1589338800
CEDEARKO,2020-05-14,1095,1099,1060,1075,12175,1589425200
CEDEARKO,2020-05-15,1100,1110,1000,1039,20390,1589511600
CEDEARKO,2020-05-18,1064,1092,1051,1080,35330,1589770800
CEDEARKO,2020-05-19,1088,1090,1060,1061,12985,1589857200
CEDEARKO,2020-05-20,1086.5,1105,1080,1098,21095,1589943600
CEDEARKO,2020-05-21,1112,1112,1070,1078.5,25430,1590030000
CEDEARKO,2020-05-22,1080,1080,1001,1040,20900,1590116400
CEDEARKO,2020-05-26,1041,1070,1040,1067.5,44305,1590462000
CEDEARKO,2020-05-27,1076,1094,1014,1056,15545,1590548400
CEDEARKO,2020-05-28,1074,1079,1056,1074,17695,1590634800
CEDEARKO,2020-05-29,1080,1085,1042,1077,11940,1590721200
CEDEARKO,2020-06-01,1082,1093,1068,1088.5,22730,1590980400
CEDEARKO,2020-06-02,1100,1100,1056.5,1079.5,17875,1591066800
CEDEARKO,2020-06-03,1083,1123,1082,1117,16705,1591153200
CEDEARKO,2020-06-04,1115,1131,1100.5,1122,22555,1591239600
CEDEARKO,2020-06-05,1140,1181.5,1123,1163,31215,1591326000
CEDEARKO,2020-06-08,1185,1188,1169,1179,36205,1591585200
CEDEARKO,2020-06-09,1179,1179,1115,1156,22665,1591671600
CEDEARKO,2020-06-10,1167.5,1170,1130,1146.5,19105,1591758000
CEDEARKO,2020-06-11,1131,1131,1040,1051,25860,1591844400
CEDEARKO,2020-06-12,1053,1075,1000,1030,19380,1591930800
CEDEARKO,2020-06-16,1075,1080,1035,1046.5,15300,1592276400
CEDEARKO,2020-06-17,1060,1070,1001.5,1011,9225,1592362800
CEDEARKO,2020-06-18,1020,1050,1002,1038.5,9570,1592449200
CEDEARKO,2020-06-19,1053.5,1070,1014.5,1043,12290,1592535600
CEDEARKO,2020-06-22,1043,1045,1000,1031.5,12575,1592794800
CEDEARKO,2020-06-23,1040,1049.5,962.5,1009.5,23240,1592881200
CEDEARKO,2020-06-24,1020,1020,970.5,981,11895,1592967600
CEDEARKO,2020-06-25,991,991,950,978.5,40530,1593054000
CEDEARKO,2020-06-26,985,985,933,948,20970,1593140400
CEDEARKO,2020-06-29,950,976.5,920,942.5,23640,1593399600
CEDEARKO,2020-06-30,950,960,933,948,9425,1593486000
CEDEARKO,2020-07-01,957.5,988,950,979.5,15890,1593572400
CEDEARKO,2020-07-02,983,1023,979,1003,58995,1593658800
CEDEARKO,2020-07-03,1007,1035,1007,1017,10020,1593745200
CEDEARKO,2020-07-06,1020,1035,968.5,982.5,83045,1594004400
CEDEARKO,2020-07-07,990,1013,968,1006.5,13655,1594090800
CEDEARKO,2020-07-08,1015,1015,978,992.5,25350,1594177200
CEDEARKO,2020-07-13,1008,1012,992.5,1007,15155,1594609200
CEDEARKO,2020-07-14,1020,1041,1000.5,1041,19085,1594695600
CEDEARKO,2020-07-15,1050,1073,1045,1058,20280,1594782000
CEDEARKO,2020-07-16,1059,1068.5,1015,1067,20965,1594868400
CEDEARKO,2020-07-17,1067,1110,1060,1104,27485,1594954800
CEDEARKO,2020-07-20,1109,1132,1081,1109.5,27440,1595214000
CEDEARKO,2020-07-21,1135,1150,1120,1127,26925,1595300400
CEDEARKO,2020-07-22,1145,1147,1107,1126.5,25925,1595386800
CEDEARKO,2020-07-23,1139,1139,1098,1111.5,13650,1595473200
CEDEARKO,2020-07-24,1100.5,1135,1100.5,1130,20525,1595559600
CEDEARKO,2020-07-27,1130,1142.5,1105.5,1133,20665,1595818800
CEDEARKO,2020-07-28,1133,1160,1124.5,1140.5,25535,1595905200
CEDEARKO,2020-07-29,1150,1160,1120,1135,12585,1595991600
CEDEARKO,2020-07-30,1125,1165,1100,1160,14340,1596078000
CEDEARKO,2020-07-31,1160,1170,1134,1166.5,25425,1596164400
CEDEARKO,2020-08-03,1167,1186,1120.5,1145,34355,1596423600
CEDEARKO,2020-08-04,1142,1142,996.5,1135,22625,1596510000
CEDEARKO,2020-08-05,1150,1155.5,1116.5,1153.5,18530,1596596400
CEDEARKO,2020-08-06,1170,1180,1144,1179.5,12165,1596682800
CEDEARKO,2020-08-07,1189,1230.5,1179,1212.5,16005,1596769200
CEDEARKO,2020-08-10,1225,1239.5,1219,1234.5,19120,1597028400
CEDEARKO,2020-08-11,1235,1250,1212.5,1243,21620,1597114800
CEDEARKO,2020-08-12,1285,1298,1250,1280,14765,1597201200
CEDEARKO,2020-08-13,1303,1303,1245,1267,15520,1597287600
CEDEARKO,2020-08-14,1267,1275,1233,1241,13266,1597374000
CEDEARKO,2020-08-18,1273,1273,1216,1247.5,13359,1597719600
CEDEARKO,2020-08-19,1280,1280,1235,1247,15994,1597806000
CEDEARKO,2020-08-20,1248,1269.5,1232,1263,16494,1597892400
CEDEARKO,2020-08-21,1285,1285.5,1220,1285,8260,1597978800
CEDEARKO,2020-08-24,1272,1300,1229,1289.5,22075,1598238000
CEDEARKO,2020-08-25,1289,1290,1240,1271,18586,1598324400
CEDEARKO,2020-08-26,1270,1280,1186.5,1249.5,19680,1598410800
CEDEARKO,2020-08-27,1250,1290,1208,1220.5,18455,1598497200
CEDEARKO,2020-08-28,1225,1260,1200,1258.5,20033,1598583600
CEDEARKO,2020-08-31,1260,1300,1241,1267.5,30080,1598842800
CEDEARKO,2020-09-01,1300,1300,1230,1250,25215,1598929200
CEDEARKO,2020-09-02,1290,1315,1270,1288,88436,1599015600
CEDEARKO,2020-09-03,1300,1320,1160,1214.5,23797,1599102000
CEDEARKO,2020-09-04,1276,1285,1228,1261.5,34680,1599188400
CEDEARKO,2020-09-07,1280,1347,1267.5,1291,12241,1599447600
CEDEARKO,2020-09-08,1241,1280,1205,1241,78658,1599534000
CEDEARKO,2020-09-09,1246,1289,1246,1281.5,86453,1599620400
CEDEARKO,2020-09-10,1288,1309.5,1275,1298,62670,1599706800
CEDEARKO,2020-09-11,1298,1331,1290,1327.5,45502,1599793200
CEDEARKO,2020-09-14,1325,1334.5,1310,1329,70313,1600052400
CEDEARKO,2020-09-15,1344,1348,1293.5,1324,92366,1600138800
CEDEARKO,2020-09-16,1350,1409.5,1340,1369,46107,1600225200
CEDEARKO,2020-09-17,1360.5,1365,1305,1336,45100,1600311600
CEDEARKO,2020-09-18,1350,1390,1350,1390,41085,1600398000
CEDEARKO,2020-09-21,1366,1378,1328.5,1369,22909,1600657200
CEDEARKO,2020-09-22,1364.5,1452,1364,1447,30883,1600743600
CEDEARKO,2020-09-23,1470,1489,1447.5,1460,45784,1600830000
CEDEARKO,2020-09-24,1456,1456,1370,1420,77657,1600916400
CEDEARKO,2020-09-25,1430,1430,1378,1420,58644,1601002800
CEDEARKO,2020-09-28,1444,1450,1410,1437.5,57282,1601262000
CEDEARKO,2020-09-29,1440,1463,1430,1451,37755,1601348400
CEDEARKO,2020-09-30,1469,1480,1442,1448,52819,1601434800
CEDEARKO,2020-10-01,1469,1469,1429,1450,58971,1601521200
CEDEARKO,2020-10-02,1447,1506,1419,1492,48951,1601607600
CEDEARKO,2020-10-05,1488,1520,1476,1519,48395,1601866800
CEDEARKO,2020-10-06,1535,1550,1490,1500,26978,1601953200
CEDEARKO,2020-10-07,1502,1530,1501,1513,25681,1602039600
CEDEARKO,2020-10-08,1540,1561,1520,1554,25227,1602126000
CEDEARKO,2020-10-09,1582,1607,1560,1607,45698,1602212400
CEDEARKO,2020-10-13,1620,1633.5,1580,1610.5,53537,1602558000
CEDEARKO,2020-10-14,1624.5,1675,1599.5,1675,41044,1602644400
CEDEARKO,2020-10-15,1664,1729.5,1660,1710,34519,1602730800
CEDEARKO,2020-10-16,1735.5,1745,1686.5,1697,62755,1602817200
CEDEARKO,2020-10-19,1697,1712,1594.5,1639,45514,1603076400
CEDEARKO,2020-10-20,1640.5,1750,1614.5,1735,46163,1603162800
CEDEARKO,2020-10-21,1755,1826,1736,1823.5,57246,1603249200
CEDEARKO,2020-10-22,1870,1939,1814.5,1870,68175,1603335600
CEDEARKO,2020-10-23,1938.5,1938.5,1746.5,1855,43125,1603422000
CEDEARKO,2020-10-26,1849,1849,1650,1685,40952,1603681200
CEDEARKO,2020-10-27,1685,1705,1640,1655,23509,1603767600
CEDEARKO,2020-10-28,1600,1600,1500,1517,56097,1603854000
CEDEARKO,2020-10-29,1514,1538.5,1460,1535,24946,1603940400
CEDEARKO,2020-10-30,1535,1535,1470,1472,22882,1604026800
CEDEARKO,2020-11-02,1472,1499,1446.5,1486,41134,1604286000
CEDEARKO,2020-11-03,1484,1549.5,1480,1519,44258,1604372400
CEDEARKO,2020-11-04,1533.5,1554.5,1498,1510,21176,1604458800
CEDEARKO,2020-11-05,1534.5,1534.5,1488.5,1529,38922,1604545200
CEDEARKO,2020-11-06,1522,1529.5,1481,1487,9862,1604631600
CEDEARKO,2020-11-09,1543,1600,1532,1575,20214,1604890800
CEDEARKO,2020-11-10,1600,1629.5,1571,1601,52447,1604977200
CEDEARKO,2020-11-11,1610,1628,1589,1626,18280,1605063600
CEDEARKO,2020-11-12,1620,1620,1565,1590,30110,1605150000
CEDEARKO,2020-11-13,1621,1625,1581,1590,19628,1605236400
CEDEARKO,2020-11-16,1620,1631.5,1586,1600,39595,1605495600
CEDEARKO,2020-11-17,1600,1611.5,1583,1610,10099,1605582000
CEDEARKO,2020-11-18,1610,1638,1600,1600,18777,1605668400
CEDEARKO,2020-11-19,1620,1620,1558,1617,17424,1605754800
CEDEARKO,2020-11-20,1617,1640,1608,1625,63760,1605841200
CEDEARKO,2020-11-24,1650,1650,1596,1608,17414,1606186800
CEDEARKO,2020-11-25,1608,1620,1560,1605,16519,1606273200
CEDEARKO,2020-11-26,1605,1610,1549,1582,4995,1606359600
CEDEARKO,2020-11-27,1596,1620,1575,1614,25110,1606446000
CEDEARKO,2020-11-30,1614.5,1614.5,1530,1554.5,25716,1606705200
CEDEARKO,2020-12-01,1550,1580,1541,1555,37316,1606791600
CEDEARKO,2020-12-02,1556.5,1576,1530,1530,24244,1606878000
