especie,Date,apertura,maximo,minimo,Close,volumen,timestamp
LOMA,2020-04-24,76,77.5,69,77.4,421518,1587697200
LOMA,2020-04-27,78.45,80.05,75.5,79.2,116920,1587956400
LOMA,2020-04-28,81.2,87,80.65,86.7,305576,1588042800
LOMA,2020-04-29,88.1,88.15,80.5,82.35,410615,1588129200
LOMA,2020-04-30,80.5,84,78.7,83,240146,1588215600
LOMA,2020-05-04,80.9,81,75.75,77.95,494878,1588561200
LOMA,2020-05-05,79.35,81.5,75.9,80.35,229123,1588647600
LOMA,2020-05-06,80.5,86,78.5,83.3,557559,1588734000
LOMA,2020-05-07,84,87.5,83.2,84.75,1195317,1588820400
LOMA,2020-05-08,87.75,88.9,83,83.85,891974,1588906800
LOMA,2020-05-11,84.9,92.75,83,92.35,1066236,1589166000
LOMA,2020-05-12,95.6,103.5,95.6,98.2,891465,1589252400
LOMA,2020-05-13,97.75,98,92,93.95,324641,1589338800
LOMA,2020-05-14,93.5,97.1,90,93.4,260285,1589425200
LOMA,2020-05-15,96.6,97.5,94.3,96.5,226662,1589511600
LOMA,2020-05-18,100,103,98.65,99.75,319648,1589770800
LOMA,2020-05-19,99.7,109.9,98,106.45,415151,1589857200
LOMA,2020-05-20,108,110,100.5,106.9,507054,1589943600
LOMA,2020-05-21,108,111.3,103.9,109,268489,1590030000
LOMA,2020-05-22,109,109.45,100,108.9,396162,1590116400
LOMA,2020-05-26,110,115,110,112.25,258073,1590462000
LOMA,2020-05-27,113.3,115.85,105.5,106.45,257844,1590548400
LOMA,2020-05-28,107.2,109.2,103.9,108.25,482695,1590634800
LOMA,2020-05-29,107.9,108,100,105.9,150008,1590721200
LOMA,2020-06-01,107.5,111.5,106,109.75,125224,1590980400
LOMA,2020-06-02,110.4,115.8,110.4,115.2,182960,1591066800
LOMA,2020-06-03,115.1,123,114,117.7,290524,1591153200
LOMA,2020-06-04,120,120,113.2,114.1,103786,1591239600
LOMA,2020-06-05,116.3,121,116,116.65,211038,1591326000
LOMA,2020-06-08,118,123,118,122.4,324959,1591585200
LOMA,2020-06-09,117.5,121.8,111.25,116.8,223685,1591671600
LOMA,2020-06-10,117,117.75,111.5,117.1,234759,1591758000
LOMA,2020-06-11,116.5,116.75,106,109,287860,1591844400
LOMA,2020-06-12,110,113,98,106.15,435614,1591930800
LOMA,2020-06-16,107.5,114,102,103.15,407148,1592276400
LOMA,2020-06-17,103,104,97,98.45,223747,1592362800
LOMA,2020-06-18,96.95,97,88.7,92.4,150750,1592449200
LOMA,2020-06-19,94.5,102.45,93.85,99.25,177361,1592535600
LOMA,2020-06-22,103,103,93,95.1,164293,1592794800
LOMA,2020-06-23,96,99,95.5,98.35,228152,1592881200
LOMA,2020-06-24,98.6,98.6,93.5,95.75,87237,1592967600
LOMA,2020-06-25,96,99,95.8,98.6,102808,1593054000
LOMA,2020-06-26,98.5,98.5,94.5,95.85,41779,1593140400
LOMA,2020-06-29,98,98.5,93.5,94.2,129301,1593399600
LOMA,2020-06-30,94.2,94.2,86.9,91.2,113359,1593486000
LOMA,2020-07-01,91,94,89.3,92.85,96064,1593572400
LOMA,2020-07-02,94.1,99.5,93.2,95.6,93884,1593658800
LOMA,2020-07-03,95.55,98,94,97.9,32236,1593745200
LOMA,2020-07-06,101.25,106.75,101,105.6,323688,1594004400
LOMA,2020-07-07,104.15,104.2,97.05,99.9,446341,1594090800
LOMA,2020-07-08,101.95,102.9,99,100,220116,1594177200
LOMA,2020-07-13,102.2,104.4,99.05,102.3,336391,1594609200
LOMA,2020-07-14,103.95,103.95,100,103.55,247016,1594695600
LOMA,2020-07-15,105,110,103.5,108.7,287466,1594782000
LOMA,2020-07-16,109,111.9,106.5,111.2,175190,1594868400
LOMA,2020-07-17,112,115.2,108,114.55,512377,1594954800
LOMA,2020-07-20,114.55,114.9,110,111.55,384385,1595214000
LOMA,2020-07-21,112.5,119.2,112,118.2,422090,1595300400
LOMA,2020-07-22,119.2,126.6,115,125.85,662915,1595386800
LOMA,2020-07-23,126,134.6,120.7,127.35,900217,1595473200
LOMA,2020-07-24,126.9,130.1,125.2,128.10001,561620,1595559600
LOMA,2020-07-27,130,134.95,130,133.95,645315,1595818800
LOMA,2020-07-28,131.89999,133,128.1,130,574052,1595905200
LOMA,2020-07-29,132.95,133,126.5,132.60001,355493,1595991600
LOMA,2020-07-30,132.39999,133.85,126,131,286163,1596078000
LOMA,2020-07-31,130.8,130.8,126.5,128.60001,322133,1596164400
LOMA,2020-08-03,127.2,143,125,136.25,577095,1596423600
LOMA,2020-08-04,149,149,131.65,138.55,1074797,1596510000
LOMA,2020-08-05,143.5,145,133,135.89999,679764,1596596400
LOMA,2020-08-06,135.5,149.3,135.4,147.89999,609012,1596682800
LOMA,2020-08-07,148,150.25,145,147.5,879033,1596769200
LOMA,2020-08-10,148.10001,152,144.05,145.89999,416489,1597028400
LOMA,2020-08-11,147,149,139.5,144.14999,498611,1597114800
LOMA,2020-08-12,144.89999,144.9,134.5,136,384315,1597201200
LOMA,2020-08-13,137,141.45,134,134.7,414616,1597287600
LOMA,2020-08-14,134.95,134.95,129,132.05,452050,1597374000
LOMA,2020-08-18,132,135,128,133.35001,178975,1597719600
LOMA,2020-08-19,133,136.1,132,134.60001,258189,1597806000
LOMA,2020-08-20,133,137,130.7,136.10001,265605,1597892400
LOMA,2020-08-21,138,138,131.9,134.05,239223,1597978800
LOMA,2020-08-24,134.5,134.5,124.75,128.45,742705,1598238000
LOMA,2020-08-25,128.95,132,122.7,130.8,267823,1598324400
LOMA,2020-08-26,130.95,130.95,124,124.75,491039,1598410800
LOMA,2020-08-27,125,127.2,116,117.9,316302,1598497200
LOMA,2020-08-28,120.05,129.95,120,129.14999,223902,1598583600
LOMA,2020-08-31,129,129.6,125,127.3,1193336,1598842800
LOMA,2020-09-01,128,131,124.5,128,389631,1598929200
LOMA,2020-09-02,126.8,128,121.05,123.1,491241,1599015600
LOMA,2020-09-03,124.1,127,120.5,122.6,189213,1599102000
LOMA,2020-09-04,122.5,124,119.1,122.5,159877,1599188400
LOMA,2020-09-07,123.9,127.1,122.8,126.35,80350,1599447600
LOMA,2020-09-08,125.9,125.95,121.3,125.8,289904,1599534000
LOMA,2020-09-09,126.8,126.8,122,125,210329,1599620400
LOMA,2020-09-10,126.75,127.9,125.05,126.4,215851,1599706800
LOMA,2020-09-11,126.6,134.15,124.5,131.8,409035,1599793200
LOMA,2020-09-14,134,135,127,128.2,255066,1600052400
LOMA,2020-09-15,129.64999,133,127.4,131.39999,458780,1600138800
LOMA,2020-09-16,129,129,120,121.25,356232,1600225200
LOMA,2020-09-17,121,121,108.6,109.65,372001,1600311600
LOMA,2020-09-18,109.1,115,108.8,114.15,267404,1600398000
LOMA,2020-09-21,112,117.6,107.7,117,162798,1600657200
LOMA,2020-09-22,117,120,114,119,660618,1600743600
LOMA,2020-09-23,118.4,118.4,113.1,114,279013,1600830000
LOMA,2020-09-24,112.55,120,112.55,119,446182,1600916400
LOMA,2020-09-25,119.5,123.9,116.5,122.45,200176,1601002800
LOMA,2020-09-28,124.5,125.4,122.5,123.1,722876,1601262000
LOMA,2020-09-29,122.9,125,119.95,123.55,269926,1601348400
LOMA,2020-09-30,124,130.3,122.5,129.55,609159,1601434800
LOMA,2020-10-01,130,133,127,131.2,295636,1601521200
LOMA,2020-10-02,130.85001,136,128.8,135.8,227300,1601607600
LOMA,2020-10-05,136,143.5,132.5,142.14999,345852,1601866800
LOMA,2020-10-06,143.5,147.5,140.5,144.60001,714622,1601953200
LOMA,2020-10-07,144.7,146.1,140.25,144,377613,1602039600
