especie,Date,apertura,maximo,minimo,Close,volumen,timestamp
TX24,2020-04-24,70,70,70,70,1000,1587697200
TX24,2020-04-28,70,70,70,70,100,1588042800
TX24,2020-04-29,71,71,71,71,11185,1588129200
TX24,2020-05-05,73,73,73,73,38554,1588647600
TX24,2020-05-06,75,75,68,68,55506,1588734000
TX24,2020-05-08,65,67,60,66,280646944,1588906800
TX24,2020-05-11,66,69,65,68,468565600,1589166000
TX24,2020-05-12,68,70,68,69,934607104,1589252400
TX24,2020-05-13,69,69,65,66,486251328,1589338800
TX24,2020-05-14,66,67,64,66,241462480,1589425200
TX24,2020-05-15,66.2,68,66.19,68,283245440,1589511600
TX24,2020-05-18,68.5,69.5,67.25,69.43,448061248,1589770800
TX24,2020-05-19,69.7,70.79,67.55,70.5,264270016,1589857200
TX24,2020-05-20,70.98,71.5,69,70.35,564909504,1589943600
TX24,2020-05-21,69,71,68.7,70.9,353138624,1590030000
TX24,2020-05-22,70.9,73.75,69.5,73,414991296,1590116400
TX24,2020-05-26,73,76.5,73,75.8,356653568,1590462000
TX24,2020-05-27,76,79.5,75.7,79.49,379292576,1590548400
TX24,2020-05-28,79.98,84,79.5,80,908230016,1590634800
TX24,2020-05-29,81,82.5,77.5,78.65,224406544,1590721200
TX24,2020-06-01,78.65,79.9,77.5,78.3,70223848,1590980400
TX24,2020-06-02,77.6,78.77,77,78.19,167822352,1591066800
TX24,2020-06-03,75.5,79.2,75.5,78.1,159146928,1591153200
TX24,2020-06-04,77.5,78.4,75.8,75.85,95693720,1591239600
TX24,2020-06-05,76,77,72,73.6,779669184,1591326000
TX24,2020-06-08,73.75,75.5,73.5,74.65,187729872,1591585200
TX24,2020-06-09,74.6,74.6,73.05,73.1,76077000,1591671600
TX24,2020-06-10,73.1,75.65,73.1,75.5,151105056,1591758000
TX24,2020-06-11,75,78,74,74.9,211260720,1591844400
TX24,2020-06-12,75,76.9,75,76.5,166919056,1591930800
TX24,2020-06-16,78,79,77,78.75,143921936,1592276400
TX24,2020-06-17,79.95,82,79,81.7,665978880,1592362800
TX24,2020-06-18,80,82,79.8,82,358899584,1592449200
TX24,2020-06-19,81,83.3,81,83.05,243137728,1592535600
TX24,2020-06-22,84.2,86,83.5,83.87,248874624,1592794800
TX24,2020-06-23,84.01,84.5,82.6,83.5,107450040,1592881200
TX24,2020-06-24,83.5,83.5,81.51,83,118804008,1592967600
TX24,2020-06-25,84.95,84.95,83.65,83.65,127863432,1593054000
TX24,2020-06-26,84,84,82,83.5,95390552,1593140400
