Símbolo,Date,Apertura,Máximo,Mínimo,Close,Monto Negociado
VSC3O,2021-10-15,18200,18350,18200,18350,120573
VSC3O,2021-10-14,18150,18200,18100,18200,3197434
VSC3O,2021-10-13,17800,18100,17600,18100,2531148
VSC3O,2021-10-12,18000,18150,17800,17920,12465986
VSC3O,2021-10-11,17800,17900,17800,17800,748065
VSC3O,2021-10-08,17800,17900,17800,17800,748065
VSC3O,2021-10-07,17800,17900,17800,17800,748065
VSC3O,2021-10-06,17800,17850,17750,17750,4457609
VSC3O,2021-10-05,18000,18000,17700,17800,973301
VSC3O,2021-10-04,18230,18252,18000,18100,1660626
VSC3O,2021-10-01,18000,18250,18000,18000,1817645
VSC3O,2021-09-30,18759,18759,17951,18000,1066300
VSC3O,2021-09-29,18200,18500,17995,18500,2152023
VSC3O,2021-09-28,17800,18200,17800,18100,2362162
VSC3O,2021-09-27,18100,18100,17601,17601,444772
VSC3O,2021-09-24,17900,18100,17700,18100,1285146
VSC3O,2021-09-23,17800,18000,17800,17900,665850
VSC3O,2021-09-22,17900,17900,17800,17800,137311
VSC3O,2021-09-21,17501,17800,17450,17800,202532
VSC3O,2021-09-20,17500,17700,17500,17501,1318775
VSC3O,2021-09-17,17500,17600,17400,17500,1189015
VSC3O,2021-09-14,17650,17800,17500,17600,2435219
VSC3O,2021-09-13,17800,17800,17600,17600,3242541
VSC3O,2021-09-07,17450,17600,17350,17600,1946944
VSC3O,2021-09-06,17300,17440,17300,17350,138130
VSC3O,2021-09-03,17100,17500,17100,17500,4206385
VSC3O,2021-09-02,17300,17300,17100,17150,657246
VSC3O,2021-09-01,17101,17300,17001,17200,1270111
VSC3O,2021-08-31,17101,17300,17101,17101,564069
VSC3O,2021-08-30,17300,17500,17101,17101,16860895
VSC3O,2021-08-27,17120,17390,17100,17300,3021417
VSC3O,2021-08-26,17100,17200,17100,17150,665903
VSC3O,2021-08-25,17100,17300,17000,17100,2707042
VSC3O,2021-08-24,17050,17100,17000,17100,1907842
VSC3O,2021-08-23,17700,17700,17000,17049,1333739
VSC3O,2021-08-20,17600,17850,17410,17850,491122
VSC3O,2021-08-19,17305,17600,17300,17600,1038803
VSC3O,2021-08-18,17300,17400,17150,17300,630818
VSC3O,2021-08-17,17300,17301,17250,17300,393886
VSC3O,2021-08-16,17300,17300,17200,17300,686287
VSC3O,2021-08-13,17300,17300,17200,17300,686287
VSC3O,2021-08-12,17295,17295,17100,17100,98596
VSC3O,2021-08-11,17250,17300,17190,17190,5178638
VSC3O,2021-08-10,17200,17200,17050,17100,2023219
VSC3O,2021-08-09,17000,17200,16950,17200,3049214
VSC3O,2021-08-06,17290,17290,17200,17250,1171261
VSC3O,2021-08-05,17100,17150,17000,17150,470224
VSC3O,2021-08-04,17150,17350,"17100,5",17100.5,1585462
VSC3O,2021-08-03,17200,17500,17200,17500,1475790
VSC3O,2021-08-02,17200,17200,16900,16950,1279064
VSC3O,2021-07-30,16500,17150,16500,17140,1184633
VSC3O,2021-07-29,17100,17100,16500,16500,1353054
VSC3O,2021-07-28,17200,17200,17000,17100,1250555
VSC3O,2021-07-27,17500,17500,17125,17200,660702
VSC3O,2021-07-26,17100,17500,17100,17500,238852
VSC3O,2021-07-23,16850,16950,16850,16950,668059
VSC3O,2021-07-22,17000,17000,16850,16850,537881
VSC3O,2021-07-21,16850,16850,16850,16850,119803
VSC3O,2021-07-20,17000,17003,16600,16850,2443782
VSC3O,2021-07-19,16700,16850,16700,16850,1633289
VSC3O,2021-07-16,16650,16660,16600,16660,979798
VSC3O,2021-07-15,16350,16500,16301,16450,2600522
VSC3O,2021-07-14,16500,16550,16300,16300,342403
VSC3O,2021-07-13,16580,16600,16420,16420,3701239
VSC3O,2021-07-12,16240,16410,16240,16410,100399
VSC3O,2021-07-09,16000,16240,16000,16240,293600
