especie,Date,apertura,maximo,minimo,Close,volumen,timestamp
CEDEARWMT,2020-04-24,2421,2498.5,2312.5,2396.75,3432,1587697200
CEDEARWMT,2020-04-27,2400,2476.25,2340,2469.25,20418,1587956400
CEDEARWMT,2020-04-28,2475,2534,2454.5,2513.75,1524,1588042800
CEDEARWMT,2020-04-29,2500,2500,2207.5,2288.5,6456,1588129200
CEDEARWMT,2020-04-30,2295,2329,2240.5,2302.5,1710,1588215600
CEDEARWMT,2020-05-04,2447.5,2447.5,2320,2365,3498,1588561200
CEDEARWMT,2020-05-05,2409.5,2490,2372.5,2447,2232,1588647600
CEDEARWMT,2020-05-06,2480,2499.5,2430.5,2447.25,1434,1588734000
CEDEARWMT,2020-05-07,2525,2562.5,2405,2425.5,5322,1588820400
CEDEARWMT,2020-05-08,2497.25,2525,2384.75,2405,5910,1588906800
CEDEARWMT,2020-05-11,2425,2450,2387,2434,6720,1589166000
CEDEARWMT,2020-05-12,2434.5,2547.5,2434.5,2520.75,5994,1589252400
CEDEARWMT,2020-05-13,2550,2592.5,2510,2588,7416,1589338800
CEDEARWMT,2020-05-14,2600,2610,2511.75,2520.5,6390,1589425200
CEDEARWMT,2020-05-15,2550,2635,2470,2545.5,118284,1589511600
CEDEARWMT,2020-05-18,2637.5,2637.5,2472,2556.25,38280,1589770800
CEDEARWMT,2020-05-19,2640,2648.5,2455.5,2480.5,18990,1589857200
CEDEARWMT,2020-05-20,2499.5,2545,2468,2503,3840,1589943600
CEDEARWMT,2020-05-21,2505,2545,2447,2479.25,3342,1590030000
CEDEARWMT,2020-05-22,2483.25,2517.5,2326.25,2500.75,5712,1590116400
CEDEARWMT,2020-05-26,2499.5,2499.5,2310,2425.75,3048,1590462000
CEDEARWMT,2020-05-27,2375,2375,2100,2241.25,15090,1590548400
CEDEARWMT,2020-05-28,2241.25,2344.75,2241.25,2326,6282,1590634800
CEDEARWMT,2020-05-29,2334.5,2385,2290,2314.5,19182,1590721200
CEDEARWMT,2020-06-01,2320,2399.5,2275,2393,6114,1590980400
CEDEARWMT,2020-06-02,2425,2449.5,2320,2377,7908,1591066800
CEDEARWMT,2020-06-03,2377,2406.75,2286.5,2394.25,2916,1591153200
CEDEARWMT,2020-06-04,2416.5,2424.5,2330,2388.5,1668,1591239600
CEDEARWMT,2020-06-05,2385,2400,2275.5,2377.25,3282,1591326000
CEDEARWMT,2020-06-08,2385,2385,2300,2361,6888,1591585200
CEDEARWMT,2020-06-09,2366.5,2400.75,2330,2382.5,2418,1591671600
CEDEARWMT,2020-06-10,2400,2436,2360,2365,3486,1591758000
CEDEARWMT,2020-06-11,2375,2400,2175,2269.5,5124,1591844400
CEDEARWMT,2020-06-12,2330,2425,2146.5,2252.75,10242,1591930800
CEDEARWMT,2020-06-16,2350,2370,2205.5,2230,5298,1592276400
CEDEARWMT,2020-06-17,2219,2240,2150,2168.25,2694,1592362800
CEDEARWMT,2020-06-18,2175,2218.5,2114.5,2161.5,3840,1592449200
CEDEARWMT,2020-06-19,2175,2250,2125,2230.5,51702,1592535600
CEDEARWMT,2020-06-22,2245,2345,2225,2339.25,2352,1592794800
CEDEARWMT,2020-06-23,2365,2365,2202.25,2262.5,7404,1592881200
CEDEARWMT,2020-06-24,2247.5,2247.5,2162.5,2231.25,3636,1592967600
CEDEARWMT,2020-06-25,2210,2210,2143,2159.5,3378,1593054000
CEDEARWMT,2020-06-26,2210,2210,2061,2103.5,5136,1593140400
CEDEARWMT,2020-06-29,2125,2150,2061.5,2087,3492,1593399600
CEDEARWMT,2020-06-30,2099.5,2150,2077.5,2125,1242,1593486000
CEDEARWMT,2020-07-01,2194,2194,2100,2175.5,4650,1593572400
